20.62:381.40:400.80

0.81:320.32:0.00

0.02:381.12:348.80

20.51:382.52:392.00

0.81:225.80:0.00

0.05:382.40:351.20

20.87:382.72:396.80

0.81:192.52:0.00

0.26:382.00:351.20

20.29:382.12:390.40

0.81:188.72:0.00

0.55:382.72:349.60

20.50:382.80:375.20

0.81:189.12:0.00

0.73:382.00:351.20

20.63:382.60:392.00

0.81:232.72:0.00

0.05:382.40:353.60

19.69:382.32:396.00

0.81:192.92:0.00

0.24:382.12:357.60

18.82:382.60:393.60

0.81:188.12:0.00

0.51:382.60:365.60

20.58:382.32:375.20

0.79:188.80:0.00

0.74:382.32:348.80

20.55:382.92:301.60

0.76:191.80:0.00

0.81:382.32:353.60

19.43:382.80:260.80

0.81:192.72:0.00

0.88:382.20:357.60

18.93:381.00:392.00

0.81:188.12:0.00

0.96:381.12:363.20

17.62:381.00:373.60

0.80:188.00:0.00

0.68:381.80:1383.20

14.01:381.32:306.40

0.76:192.32:0.00

0.81:381.20:3482.40

19.85:380.92:260.80

0.40:192.92:0.00

0.87:381.40:353.60

18.77:381.20:287.20

0.04:191.40:0.00

0.97:381.40:359.20

18.15:381.12:296.00

0.79:190.52:0.00

0.97:381.12:1277.60

14.62:381.52:310.40

0.77:191.20:0.00

0.95:381.32:3320.00

10.09:380.92:262.40

0.46:192.00:0.00

0.85:381.32:5206.40

6.31:380.92:283.20

0.04:191.60:0.00

0.95:381.40:6947.20

17.98:380.92:297.60

0.04:191.12:0.00

0.98:381.32:1165.60

14.85:382.32:297.60

0.04:192.32:0.00

0.95:382.40:3090.40

10.49:382.20:295.20

0.52:195.12:0.00

0.95:382.12:5186.40

6.68:382.52:280.80

0.04:197.20:0.00

0.95:382.52:7031.20

3.57:382.40:296.00

0.04:191.80:0.00

0.98:382.72:7978.40

2.01:382.00:300.00

0.04:193.12:0.00

0.95:382.52:8056.00

1.33:382.40:297.60

0.04:194.20:0.00

0.96:381.92:7814.40

7.03:382.32:293.60

0.04:195.80:0.00

0.95:382.00:6767.20

3.71:381.72:293.60

0.04:202.60:0.00

0.96:382.20:7880.00

2.03:382.00:295.20

0.04:214.12:1.60

0.96:381.92:8012.80

1.41:382.60:296.00

0.04:195.32:64.00

0.95:382.40:7814.40

1.16:381.60:292.00

0.04:195.00:0.00

0.95:381.40:7695.20

1.11:380.60:295.20

0.04:200.80:0.00

0.96:381.52:7847.20

2.07:381.20:293.60

0.03:212.92:0.00

0.96:381.40:8008.80

1.39:381.32:296.00

0.02:225.32:40.80

0.96:380.92:7763.20

1.17:381.32:295.20

0.04:274.52:147.20

0.96:381.72:7783.20

1.12:381.40:293.60

0.04:201.52:228.00

0.95:381.32:8036.00

1.08:381.40:296.00

0.03:212.00:0.00

0.95:381.40:7688.80

1.05:381.52:296.00

0.02:224.12:44.80

0.96:381.12:7132.80

1.18:381.52:296.00

0.02:271.32:132.00

0.96:381.60:7712.80

1.11:380.72:292.00

0.02:341.32:212.00

0.96:381.52:7873.60

1.08:382.00:284.80

0.03:373.80:280.80

0.96:382.80:7720.00

1.06:382.12:295.20

0.02:223.52:304.00

0.95:383.00:7284.00

1.07:382.80:296.00

0.02:267.52:127.20

0.96:383.00:6867.20

1.05:382.00:293.60

0.02:339.12:205.60

0.96:382.72:6052.80

1.08:382.32:284.80

0.02:376.20:272.80

0.95:382.52:7688.80

1.07:381.92:270.40

0.02:380.72:304.00

0.97:382.52:7329.60

1.07:382.00:16.80

0.02:382.32:342.40

0.97:382.40:7048.80

1.05:382.00:295.20

0.02:333.32:360.80

0.95:382.92:6344.00

0.97:382.52:285.60

0.02:373.72:349.60

0.95:382.80:4800.00

0.78:382.40:271.20

0.02:381.00:295.20

0.96:383.20:3338.40

1.07:381.32:27.20

0.02:380.92:338.40

0.97:381.60:6972.00

1.05:381.32:0.00

0.02:381.52:360.80

1.46:381.40:6274.40

0.99:381.40:0.00

0.02:381.12:348.80

5.43:381.40:4832.80

0.79:381.12:271.20

0.02:378.72:347.20

11.23:381.60:3330.40

0.73:381.12:39.20

0.02:381.32:349.60

0.98:381.72:1861.60

0.81:381.40:0.00

0.02:380.72:359.20

1.33:381.60:944.80

0.98:381.00:0.00

0.02:381.32:351.20

5.02:381.80:4921.60

0.79:381.00:0.00

0.02:381.20:348.80

10.51:381.52:3439.20

0.73:381.12:0.00

0.02:381.20:349.60

15.59:381.60:1928.00

0.81:381.20:0.00

0.02:381.32:348.80

19.71:383.12:973.60

0.82:382.72:0.00

0.02:382.12:351.20

4.94:382.92:621.60

0.81:382.12:0.00

0.02:382.20:348.80

10.53:382.72:458.40

0.71:382.20:0.00

0.02:382.12:351.20

15.47:382.92:419.20

0.80:382.72:0.00

0.02:382.12:352.80

19.59:383.12:1009.60

0.82:382.80:0.00

0.02:382.52:352.80

21.36:382.92:630.40

0.82:382.52:0.00

0.02:382.92:351.20

20.74:382.72:472.80

0.81:382.00:0.00

0.02:381.80:351.20

14.86:382.92:422.40

0.81:382.00:0.00

0.02:382.12:349.60

